Window size,Action,Total
W1,A2,49750.87698
W1,A3,49354.04055
W1,A4,49382.22299
W1,A5,49411.54316
W1,A6,49356.11838
W1,A7,49391.00447
W1,A8,49328.50528
W1,A9,49509.09845
W1,A10,49355.39654
W2,A2,49708.93309
W2,A3,49384.07489
W2,A4,49185.29312
W2,A5,49327.31696
W2,A6,49381.42838
W2,A7,49487.25654
W2,A8,49238.94197
W2,A9,49515.55025
W2,A10,49387.86525
W3,A2,49756.35142
W3,A3,49401.62771
W3,A4,49232.49187
W3,A5,49260.87757
W3,A6,49326.19425
W3,A7,49317.65285
W3,A8,49388.31063
W3,A9,49526.91642
W3,A10,49158.03209
W4,A2,49928.26717
W4,A3,49649.73762
W4,A4,49293.19232
W4,A5,49254.50264
W4,A6,49405.46887
W4,A7,49289.50604
W4,A8,49524.34642
W4,A9,49382.56833
W4,A10,49443.23424
W5,A2,49883.24516
W5,A3,49420.62069
W5,A4,49299.03237
W5,A5,49403.8532
W5,A6,49358.13417
W5,A7,49482.87876
W5,A8,49610.47087
W5,A9,49444.35541
W5,A10,49689.67042
W6,A2,49952.67105
W6,A3,49448.04967
W6,A4,49341.69351
W6,A5,49655.08303
W6,A6,49506.04313
W6,A7,49472.00924
W6,A8,49455.42788
W6,A9,49739.94677
W6,A10,49327.64706
W7,A2,49930.52004
W7,A3,49402.92727
W7,A4,49620.39465
W7,A5,49349.02268
W7,A6,49514.49252
W7,A7,49478.15539
W7,A8,49385.49398
W7,A9,49388.35707
W7,A10,49740.03602
W8,A2,50055.39747
W8,A3,49911.38807
W8,A4,49687.20227
W8,A5,49549.51602
W8,A6,49527.58764
W8,A7,49578.81766
W8,A8,49405.86146
W8,A9,49603.69896
W8,A10,49799.82728
W9,A2,50307.17814
W9,A3,49879.28227
W9,A4,49266.78437
W9,A5,49434.09259
W9,A6,49718.57933
W9,A7,49460.91024
W9,A8,49447.76804
W9,A9,49641.74484
W9,A10,49589.89255
W10,A2,50257.41517
W10,A3,49423.67522
W10,A4,49392.44808
W10,A5,49539.18792
W10,A6,49734.01229
W10,A7,49475.26167
W10,A8,49376.04981
W10,A9,49506.21572
W10,A10,49672.31476
